CountryID,Year,Population
ATG,2029,97623
ATG,2030,98304
AUS,2021,24741970
AUS,2022,24984944
AUS,2023,25227918
AUS,2024,25470891
AUS,2025,25713865
AUS,2026,25956838
AUS,2027,26199812
AUS,2028,26442785
AUS,2029,26685759
AUS,2030,26928732
AUT,2021,8673049
AUT,2022,8699591
AUT,2023,8726134
AUT,2024,8752677
AUT,2025,8779220
AUT,2026,8805763
AUT,2027,8832306
AUT,2028,8858849
AUT,2029,8885392
AUT,2030,8911935
AZE,2021,10167184
AZE,2022,10265881
AZE,2023,10364577
AZE,2024,10463274
AZE,2025,10561970
AZE,2026,10660667
AZE,2027,10759363
AZE,2028,10858060
AZE,2029,10956757
AZE,2030,11055453
BDI,2021,10115089
BDI,2022,10252904
BDI,2023,10390720
BDI,2024,10528535
BDI,2025,10666351
BDI,2026,10804166
BDI,2027,10941982
BDI,2028,11079797
BDI,2029,11217613
BDI,2030,11355428
BEL,2021,11196609
BEL,2022,11230135
BEL,2023,11263661
BEL,2024,11297187
BEL,2025,11330713
BEL,2026,11364239
BEL,2027,11397764
BEL,2028,11431290
BEL,2029,11464816
BEL,2030,11498342
BEN,2021,10738774
BEN,2022,10899483
BEN,2023,11060192
BEN,2024,11220901
BEN,2025,11381610
BEN,2026,11542319
BEN,2027,11703028
BEN,2028,11863737
BEN,2029,12024446
BEN,2030,12185155
BFA,2021,18103362
BFA,2022,18361656
BFA,2023,18619950
BFA,2024,18878245
BFA,2025,19136539
BFA,2026,19394834
BFA,2027,19653128
BFA,2028,19911422
BFA,2029,20169717
BFA,2030,20428011
BGD,2021,169084527
BGD,2022,171167618
BGD,2023,173250709
BGD,2024,175333800
BGD,2025,177416891
BGD,2026,179499981
BGD,2027,181583072
BGD,2028,183666163
BGD,2029,185749254
BGD,2030,187832345
BGR,2021,7412448
BGR,2022,7386692
BGR,2023,7360936
BGR,2024,7335180
BGR,2025,7309425
BGR,2026,7283669
BGR,2027,7257913
BGR,2028,7232157
BGR,2029,7206401
BGR,2030,7180645
BHR,2021,1367158
BHR,2022,1391040
BHR,2023,1414922
BHR,2024,1438803
BHR,2025,1462685
BHR,2026,1486567
BHR,2027,1510449
BHR,2028,1534331
BHR,2029,1558213
BHR,2030,1582094
BHS,2021,400548
BHS,2022,405180
BHS,2023,409812
BHS,2024,414444
BHS,2025,419077
BHS,2026,423709
BHS,2027,428341
BHS,2028,432973
BHS,2029,437605
BHS,2030,442237
BIH,2021,3708125
BIH,2022,3703147
BIH,2023,3698169
BIH,2024,3693191
BIH,2025,3688213
BIH,2026,3683235
BIH,2027,3678257
BIH,2028,3673278
BIH,2029,3668300
BIH,2030,3663322
BLR,2021,10022395
BLR,2022,10037198
BLR,2023,10052001
BLR,2024,10066804
BLR,2025,10081606
BLR,2026,10096409
BLR,2027,10111212
BLR,2028,10126015
BLR,2029,10140818
BLR,2030,10155621
BLZ,2021,367481
BLZ,2022,372583
BLZ,2023,377686
BLZ,2024,382788
BLZ,2025,387891
BLZ,2026,392993
BLZ,2027,398095
BLZ,2028,403198
BLZ,2029,408300
BLZ,2030,413402
BMU,2021,67482
BMU,2022,67780
BMU,2023,68079
BMU,2024,68378
BMU,2025,68676
BMU,2026,68975
BMU,2027,69273
BMU,2028,69572
BMU,2029,69870
BMU,2030,70169
BOL,2021,11435113
BOL,2022,11573324
BOL,2023,11711535
BOL,2024,11849745
BOL,2025,11987956
BOL,2026,12126167
BOL,2027,12264378
BOL,2028,12402589
BOL,2029,12540799
